Timestamp,Temperature,Humidity,Pressure,Light,Soil,Voltage
1496160001,23.62,43.856,99.9437,16.69,24537,3.96
1496160901,23.83,44.352,99.9423,945.97,24708,4.092
1496161801,19.2,57,100.0383,7226.45,24758,3.75
1496162701,20.96,55.389,101.0708,59.35,25259,3.838
1496163601,22.76,59.389,101.1185,2659.84,25217,3.291
1496164501,20.81,56.245,101.1142,30832.98,12635,3.594
1496165401,22.46,58.171,101.0953,45732.9,12738,3.584
1496166301,22.99,64.272,101.0827,38369.19,12783,3.589
1496167201,20.62,64.021,101.0797,18756.13,12795,3.589
1496168101,19.42,68.613,101.0621,17724.84,12827,3.345
1496169001,20.9,65.191,101.0382,22354.52,12857,3.315
1496169901,20.38,64.334,101.0245,17988.23,12859,3.584
1496170801,19.02,65.683,101.0166,15805.08,12891,3.213
1496171701,19.07,65.757,100.9988,14606.85,12902,3.076
1496172601,18.16,69.538,100.9795,14586.45,12843,3.521
1496173501,19.2,63.096,100.9953,15170.73,12814,3.496
1496174401,19.06,70.724,100.996,14671.77,12863,3.486
1496175301,19.06,66.013,101.0117,16411.61,12897,3.428
1496176201,19.11,67.765,101.0061,16335.56,12933,3.35
1496177101,19.89,66.914,101.0015,19460.97,12967,3.12
1496178001,19.11,67.332,101.0017,14397.26,12999,3.115
1496178901,18.43,68.083,101.0023,12097.26,12976,3.105
1496179801,17.68,70.149,101.0168,12434.84,12993,3.311
1496180701,17.51,70.488,101.0017,11474.03,13007,3.428
1496181601,17.05,72.902,101.0131,7686.45,13052,3.477
1496182501,16.21,75.2,100.9995,5664.68,13111,3.779
1496183401,15.89,75.211,101.0197,3897.02,13107,3.794
1496184301,16.27,73.623,100.9946,8552.66,13130,4.102
1496185201,16.99,68.592,101.0128,8046.29,13160,4.102
1496186101,15.02,82.008,100.9918,2839.76,13185,3.833
1496187001,14.64,81.075,100.9793,2262.9,13201,3.667
1496187901,14.55,82.481,100.9813,1858.55,13238,3.818
1496188801,13.99,83.274,100.988,615.81,13273,4.092
1496189701,13.53,85.554,100.9807,267.1,13315,3.994
1496190601,13.25,86.942,100.9782,42.66,13346,4.077
1496191501,11.85,90.622,100.9913,3.71,13382,4.053
1496192401,12.63,91.618,101.0147,0,13444,4.102
1496193301,12.94,90.234,100.9931,0,13462,4.102
1496194201,12.64,90.174,101.0188,0,13482,4.102
1496195101,12.33,91.262,100.9933,0,13518,4.102
1496196001,12.01,92.824,100.9675,0,13500,4.102
1496196901,12.15,93.213,100.9746,0,13532,4.102
1496197801,12.45,92.244,100.9711,0,13558,4.102
1496198701,12.46,91.907,100.976,0,13592,4.102
1496199601,12.46,91.461,101.0036,0,13645,4.102
1496200501,12.43,92.294,100.9865,0,13729,4.102
1496201401,12.34,92.231,100.9595,0,13807,4.102
1496202301,12.33,92.568,100.9857,0,13915,4.102
1496203201,12.24,93.187,100.9654,0,14189,4.102
1496204101,12.1,93.884,100.9545,0,14163,4.102
1496205001,12.04,94.893,100.9398,0,14596,4.092
1496205901,12.01,95.559,100.9328,0,14006,4.072
1496206801,11.99,95.933,100.928,0,14418,3.916
1496207701,11.98,96.202,100.9249,0,14057,3.75
1496208601,12,96.39,100.9058,0,14011,3.735
1496209501,12.04,96.563,100.8994,0,14018,3.799
1496210401,12,96.715,100.8876,0,14030,3.882
1496211301,12,96.845,100.868,0,14030,3.936
1496212201,12.04,96.975,100.864,0,14049,3.989
1496213101,12,97.085,100.8368,0,14052,3.984
1496214001,12.02,97.196,100.8099,0,14062,3.975
1496214901,11.99,97.288,100.8069,0,14074,3.955
1496215801,11.96,97.379,100.7857,0,14064,3.96
1496216701,12.03,97.469,100.7791,0,14073,3.94
1496217601,12.03,97.556,100.7845,0,14078,3.926
1496218501,12.02,97.621,100.7612,0,14100,3.931
1496219401,12.01,97.725,100.7528,0,14108,3.936
1496220301,12.06,97.791,100.7201,0,14098,3.955
1496221201,12.01,97.866,100.7373,5.56,14095,4.033
1496222101,12.06,97.955,100.7533,46.37,14138,4.023
1496223001,12.1,98.028,100.7445,183.63,14114,4.004
1496223901,12.34,98.092,100.7418,619.52,14127,4.004
1496224801,12.4,98.15,100.7668,944.11,14141,4.004
1496225701,12.55,98.162,100.7578,1806.61,14151,3.999
1496226601,12.52,98.166,100.767,1183.39,14152,3.975
