Timestamp,Temperature,Humidity,Pressure,Light,Soil,Voltage
1496160001,23.68,43.641,99.9215,9.27,25920,5
1496161016,23.56,45.625,99.9148,20.4,25565,5
1496161801,17.97,59.503,100.0152,2348.23,25609,5
1496162701,20.37,56.445,101.0748,24.11,25518,5
1496163601,22.38,64.078,101.09,4588.87,25503,5
1496164501,17.72,71.787,101.0745,458.15,25514,5
1496165401,16.82,71.444,101.0333,3134.68,22524,5
1496166301,17.03,72.869,101.0207,2739.6,22392,5
1496167201,16.54,75.261,101.0346,1316.94,22116,5
1496168101,16.35,76.266,101.0119,1153.71,22451,5
1496169001,16.67,73.717,100.9818,1435.65,22366,5
1496169901,16.53,75.368,100.9727,1172.26,22275,5
1496170801,16.34,76.854,100.9603,1073.95,22374,5
1496171701,16.23,75.043,100.9431,945.97,22308,5
1496172601,15.98,76.727,100.933,925.56,22202,5
1496173501,16.21,78.241,100.9447,949.68,22176,5
1496174401,16.19,75.813,100.9488,901.45,22165,5
1496175301,16.22,74.528,100.9614,1031.29,22177,5
1496176201,16.2,72.809,100.956,1072.1,22163,5
1496177101,16.33,73.846,100.9502,1305.81,22149,5
1496178001,16.21,74.931,100.952,949.68,22126,5
1496178901,15.92,76.04,100.9556,758.63,22094,5
1496179801,15.71,75.458,100.9716,762.34,22026,5
1496180701,15.59,76.158,100.9598,667.74,22222,5
1496181601,15.37,75.814,100.9748,508.23,22347,5
1496182501,15.06,77.689,100.9663,369.11,22435,5
1496183401,14.96,79.804,100.9842,237.42,22342,5
1496184301,14.89,78.443,100.9611,524.92,22463,5
1496185201,15.05,77.403,100.9712,515.65,22504,5
1496186101,14.47,79.662,100.9629,174.35,22526,5
1496187001,14.23,81.323,100.9518,131.69,22455,5
1496187901,14.1,81.17,100.9551,113.15,22615,5
1496188801,13.86,82.469,100.9669,35.24,22582,5
1496189701,13.62,82.913,100.96,14.84,22574,5
1496190601,13.41,84.173,100.9511,1.85,22488,5
1496191501,13.13,85.579,100.9614,0,22443,5
1496192401,13.03,87.085,100.9786,0,22505,5
1496193301,13.02,86.705,100.9678,0,22508,5
1496194201,12.9,87.125,100.9828,0,22508,5
1496195101,12.78,87.845,100.961,0,22447,5
1496196001,12.62,88.192,100.9396,0,22165,5
1496196901,12.54,88.401,100.9409,0,22319,5
1496197801,12.53,89.025,100.9375,0,22292,5
1496198701,12.46,88.613,100.9395,0,22330,5
1496199601,12.47,89.079,100.9671,0,22177,5
1496200501,12.44,89.126,100.9456,0,22025,5
1496201401,12.31,89.2,100.9219,0,22044,5
1496202301,12.28,89.395,100.9463,0,22062,5
1496203201,12.21,90.147,100.9207,0,22362,5
1496204101,12.07,90.95,100.914,0,22390,5
1496205001,11.94,92.159,100.9006,0,22435,5
1496205901,11.89,92.991,100.8932,0,22391,5
1496206801,11.87,93.501,100.8929,0,22294,5
1496207701,11.9,93.799,100.895,0,22621,5
1496208601,11.93,93.911,100.8692,0,22648,5
1496209501,11.93,94.03,100.8647,0,22644,5
1496210401,11.91,94.189,100.855,0,22651,5
1496211301,11.9,94.37,100.8382,0,22666,5
1496212201,11.92,94.513,100.8334,0,22677,5
1496213101,11.88,94.665,100.806,0,22698,5
1496214001,11.87,94.811,100.7741,0,22736,5
1496214901,11.83,94.923,100.7729,0,22751,5
1496215801,11.85,95.068,100.7476,0,22804,5
1496216701,11.87,95.244,100.7438,0,22815,5
1496217601,11.88,95.353,100.7499,0,22848,5
1496218501,11.83,95.451,100.7265,0,22868,5
1496219401,11.85,95.541,100.7195,0,22894,5
1496220301,11.85,95.628,100.6864,0,22916,5
1496221201,11.87,95.727,100.7014,0,22938,5
1496222101,11.89,95.828,100.718,1.85,22947,5
1496223001,11.92,95.899,100.7092,14.84,22957,5
1496223901,11.96,95.982,100.6998,57.5,22967,5
1496224801,12.02,96.05,100.7242,85.32,22975,5
1496225701,12.1,96.112,100.7123,165.08,22980,5
1496226601,12.15,96.175,100.7262,107.58,22983,5
1496227501,12.3,96.23,100.7288,357.98,22988,5
1496228401,12.42,96.278,100.7429,242.98,22991,5
1496229301,12.44,96.325,100.7458,374.68,22997,5
1496230201,12.55,96.372,100.7572,326.45,22996,5
1496231101,12.65,96.391,100.7561,389.52,23000,5
1496232001,12.73,96.41,100.77,500.81,23002,5
1496232901,12.93,96.412,100.7524,766.05,23005,5
1496233801,13.18,96.378,100.7609,842.1,22997,5
1496234701,13.61,96.27,100.7428,1320.65,23013,5
1496235601,13.49,96.001,100.7457,894.03,23015,5
1496236501,13.71,95.697,100.7404,838.39,23005,5
1496237401,13.87,95.547,100.7131,1242.74,23019,5
1496238301,14.38,95.367,100.6988,2045.89,23065,5
1496239201,14.61,93.975,100.684,1678.63,23054,5
1496240101,14.67,94.496,100.6881,1700.89,23044,5
1496241001,14.89,94.76,100.7015,1259.44,23059,5
1496241901,14.76,94.884,100.7101,905.16,23052,5
1496242801,14.77,95.33,100.7114,1231.61,22986,5
1496243701,14.92,95.513,100.7006,792.02,23057,5
1496244601,15.3,95.67,100.6691,2693.23,23014,5
1496245501,16.23,94.697,100.6375,3689.27,22745,5
1496246401,16.23,94.112,100.6314,2554.11,22562,5
1496247301,16.3,92.963,100.6324,3179.19,22632,5
1496248201,16.4,93.517,100.5931,3414.76,22598,5
1496249101,16.45,93.073,100.5694,2808.23,22626,5
1496250001,17.42,91.63,100.5438,3663.31,22593,5
1496250901,17.86,91.469,100.5181,2828.63,22598,5
1496251801,17.86,91.26,100.5171,2849.03,22618,5
1496252701,18.26,87.814,100.4994,2687.66,22631,5
1496253601,18.01,91.773,100.4979,1511.69,22691,5
1496254501,19,89.316,100.4353,2433.55,22694,5
1496255401,18.96,89.166,100.4195,1925.32,22638,5
1496256301,19.41,89.913,100.3876,3902.58,22552,5
1496257201,19.37,88.779,100.3725,1250.16,22414,5
1496258101,19.12,92.375,100.3552,1231.61,22407,5
1496259001,18.94,92.543,100.3356,1739.84,22430,5
1496259901,19.52,91.546,100.3195,2008.79,22433,5
1496260801,20.22,90.307,100.2933,2177.58,22434,5
1496261701,19.81,90.255,100.2737,1487.58,22443,5
1496262601,19.7,91.133,100.2585,1506.13,22446,5
1496263501,19.71,91.464,100.2491,1211.21,22437,5
1496264401,19.54,91.112,100.2267,1259.44,22446,5
1496265301,19.45,91.881,100.2268,920,22446,5
1496266201,19.28,92.232,100.1923,758.63,22467,5
1496267101,19.31,91.723,100.1826,1068.39,22477,5
1496268001,19.47,91.405,100.181,916.29,22491,5
1496268901,19.22,91.869,100.1697,626.94,22503,5
1496269801,19.3,91.566,100.1656,704.84,22499,5
1496270701,19.01,92.809,100.146,554.6,22538,5
1496271601,18.74,93.574,100.1291,270.81,22520,5
1496272501,18.27,94.697,100.1175,122.42,22569,5
1496273401,17.82,95.247,100.1296,77.9,22599,5
1496274301,17.29,95.468,100.1636,44.52,22614,5
1496275201,17.19,95.904,100.2087,24.11,22623,5
1496276101,16.91,96.161,100.2321,5.56,22628,5
1496277001,16.78,96.328,100.2652,0,22632,5
1496277901,16.73,96.435,100.3074,0,22642,5
1496278801,15.2,91.313,100.4297,0,22641,5
1496279701,14.55,95.455,100.4733,0,18197,5
1496280601,14.41,96.486,100.4649,0,17303,5
1496281501,14.3,96.796,100.4398,0,17088,5
1496282401,14.21,96.991,100.3762,0,17602,5
1496283301,14.09,97.127,100.3377,0,18399,5
1496284201,13.92,97.233,100.3342,0,18943,5
1496285101,13.59,97.301,100.3344,0,19328,5
1496286001,13.38,97.36,100.3236,0,19574,5
1496286901,13.32,97.413,100.3242,0,19784,5
1496287801,13.04,97.448,100.2913,0,19975,5
1496288701,13.41,97.519,100.3153,0,20027,5
1496289601,13.36,97.572,100.3918,0,20113,5
1496290501,13.61,97.636,100.3443,0,20351,5
1496291401,13.64,97.701,100.4097,0,20372,5
1496292301,13.71,97.748,100.3322,0,19949,5
1496293201,13.7,97.797,100.2642,0,19744,5
1496294101,13.6,97.852,100.2809,0,19852,5
1496295001,13.44,97.879,100.3064,0,20009,5
1496295901,13.18,97.91,100.2947,0,20156,5
1496296801,13.2,97.946,100.2854,0,20271,5
1496297701,12.79,97.973,100.2589,0,20379,5
1496298601,13.05,98.012,100.2631,0,20464,5
1496299501,13.02,98.036,100.3046,0,20534,5
1496300401,12.97,98.069,100.2845,0,20598,5
1496301301,12.82,98.1,100.197,0,20593,5
1496302201,12.91,98.131,100.1309,0,20515,5
1496303101,12.49,98.143,100.1369,0,20528,5
1496304001,11.93,98.171,100.1348,0,20556,5
1496304901,12.34,98.207,100.1718,0,20597,5
1496305801,12.33,98.228,100.1714,0,20640,5
1496306701,12.02,98.233,100.1645,0,20671,5
1496307601,11.57,98.238,100.1826,1.85,20718,5
1496308501,11.58,98.263,100.1874,25.97,20756,5
1496309401,11.43,98.262,100.2192,146.53,20789,5
1496310301,11.66,98.272,100.221,129.84,20828,5
1496311201,11.65,98.256,100.2248,120.56,20864,5
1496312101,11.79,98.266,100.2143,213.31,20897,5
1496313001,11.99,98.281,100.2202,515.65,20932,5
1496313901,12.3,98.242,100.2217,652.9,20964,5
1496314801,12.76,98.107,100.232,1125.89,20991,5
1496315701,13.94,97.603,100.2512,3900.73,21021,5
1496316601,14.33,95.81,100.2562,1754.68,21046,5
1496317501,15,95.651,100.2608,2175.73,21060,5
1496318401,16.04,95.743,100.2543,8621.29,21072,5
1496319301,16.53,93.153,100.2619,3373.95,21079,5
1496320201,16.7,94.494,100.2559,1335.48,21086,5
1496321101,17.13,92.332,100.2545,1407.82,21093,5
1496322001,17.17,91.404,100.2592,2572.66,21105,5
1496322901,18.05,91.266,100.2368,3937.82,21129,5
1496323801,18.01,89.939,100.2147,1752.82,21118,5
1496324701,18.37,84.835,100.1827,1634.11,21129,5
1496325601,18.73,83.02,100.1733,1263.15,21137,5
1496326501,21.72,77.113,100.1612,45897.98,21147,5
1496327401,20.69,75.269,100.1443,2010.65,21148,5
1496328301,20.63,73.769,100.1438,2646.85,21157,5
1496329201,21.33,72.613,100.1288,2042.18,21166,5
1496330101,21.78,57.703,100.1202,3490.81,21171,5
1496331001,23.14,59.472,100.0993,3858.06,21161,5
1496331901,23.68,53.106,100.0966,2854.6,21106,5
1496332801,23.23,53.959,100.0796,2010.65,21073,5
1496333701,24.7,50.547,100.0669,36759.19,21077,5
