Timestamp,Temperature,Humidity,Pressure,Light,Soil,Voltage
1496160001,24.48,42.907,100.0286,46.37,26219,5
1496160901,24.11,44.125,100.0228,947.82,26194,5
1496161801,19.6,56.119,100.1289,3370.24,26201,5
1496162701,20.92,56.463,101.1802,100.16,26216,5
1496163601,23.52,65.798,101.2044,4904.19,26211,5
1496164501,22.28,59.705,101.2169,27199.35,10059,5
1496165401,23.86,49.804,101.1924,41924.92,10335,5
1496166301,23.69,58.544,101.18,36006.13,10441,5
1496167201,20.87,61.646,101.1838,17402.1,10494,5
1496168101,19.5,64.946,101.1652,15601.05,10531,5
1496169001,21.26,63.416,101.1374,20508.95,10543,5
1496169901,20.63,60.944,101.1233,16229.84,10544,5
1496170801,19.66,59.932,101.1128,14558.63,10535,5
1496171701,20.12,65.159,101.0957,13408.63,10530,5
1496172601,18.41,70.164,101.091,13122.98,10523,5
1496173501,20.57,65.068,101.0956,14074.52,10514,5
1496174401,20.24,66.109,101.1011,13605.24,10509,5
1496175301,19.52,63.782,101.1144,14968.55,10499,5
1496176201,20.09,65.82,101.1098,14734.84,10490,5
1496177101,20.22,63.314,101.1072,17852.82,10484,5
1496178001,19.43,62.314,101.1056,13425.32,10476,5
1496178901,19.12,66.609,101.1114,10973.23,10470,5
1496179801,18.39,70.449,101.1283,11125.32,10507,5
1496180701,18.24,69.773,101.1132,10040.24,10455,5
1496181601,17.82,66.945,101.1297,6950.08,10465,5
1496182501,16.71,72.727,101.1211,5163.87,10466,5
1496183401,16.35,74.208,101.1438,3422.18,10472,5
1496184301,16.79,74.348,101.1175,7653.06,10477,5
1496185201,17.64,74.742,101.1278,7454.6,10477,5
1496186101,15.6,79.971,101.1245,2494.76,10478,5
1496187001,15.08,80.422,101.115,1977.26,10486,5
1496187901,15.07,83.45,101.1177,1684.19,10496,5
1496188801,14.36,83.304,101.1235,543.47,10507,5
1496189701,13.9,84.746,101.1209,237.42,10539,5
1496190601,13.56,87.477,101.1167,40.81,10554,5
1496191501,12.24,90.511,101.1242,3.71,10550,5
1496192401,12.9,91.838,101.1414,0,10555,5
1496193301,13.26,90.374,101.1258,0,10563,5
1496194201,13.02,90.214,101.1466,0,10565,5
1496195101,12.68,93.062,101.1219,0,10576,5
1496196001,12.34,93.413,101.1001,0,10582,5
1496196901,12.45,93.664,101.1013,0,10587,5
1496197801,12.78,92.911,101.0984,0,10590,5
1496198701,12.79,92.459,101.0984,0,10593,5
1496199601,12.78,92.639,101.1307,0,10597,5
1496200501,12.76,93.102,101.1098,0,10601,5
1496201401,12.68,92.815,101.0888,0,10602,5
1496202301,12.67,93.408,101.109,0,10607,5
1496203201,12.58,94.092,101.0925,0,10608,5
1496204101,12.49,94.886,101.0812,0,10610,5
1496205001,12.31,95.876,101.0623,0,10611,5
1496205901,12.3,96.718,101.0604,0,10614,5
1496206801,12.28,97.072,101.058,0,10663,5
1496207701,12.4,97.41,101.056,0,10616,5
1496208601,12.35,97.562,101.0407,0,10617,5
1496209501,12.36,97.694,101.0309,0,10617,5
1496210401,12.34,97.863,101.0212,0,10618,5
1496211301,12.37,97.999,101.0048,0,10618,5
1496212201,12.36,98.114,101.0027,0,10619,5
1496213101,12.37,98.26,100.9682,0,10620,5
1496214001,12.32,98.324,100.9425,0,10624,5
1496214901,12.3,98.404,100.9428,0,10624,5
1496215801,12.28,98.507,100.9142,0,10621,5
1496216701,12.39,98.629,100.912,0,10620,5
1496217601,12.41,98.743,100.9213,0,10620,5
1496218501,12.36,98.805,100.8947,0,10621,5
1496219401,12.29,98.91,100.8854,0,10621,5
1496220301,12.35,99.378,101.0159,0,10620,5
1496221201,12.33,99.547,100.8721,7.42,10620,5
1496222101,12.35,99.681,100.8887,40.81,10617,5
1496223001,12.4,99.778,100.8781,159.52,10616,5
1496223901,12.58,99.864,100.8683,536.05,10613,5
1496224801,12.66,99.88,100.8966,793.87,10610,5
1496225701,12.68,99.822,100.8849,1507.98,10607,5
1496226601,12.94,99.9,100.8953,1211.21,10602,5
1496227501,13.4,99.886,100.8972,3811.69,10598,5
1496228401,13.44,99.84,100.9156,2696.94,10587,5
1496229301,13.45,99.714,100.9174,4492.42,10577,5
1496230201,13.7,99.801,100.9292,3945.24,10570,5
1496231101,14.03,99.571,100.9317,4881.94,10562,5
1496232001,14.21,99.417,100.9452,6132.1,10553,5
1496232901,14.37,98.054,100.9305,9450.4,10544,5
1496233801,15.74,94.385,100.9328,10691.29,10575,5
1496234701,16.35,90.79,100.9168,14857.26,10520,5
1496235601,15.41,92.244,100.9238,9964.19,10539,5
1496236501,16.57,92.243,100.9128,9253.79,10539,5
1496237401,16.67,91.236,100.8823,13082.18,10546,5
1496238301,18,89.962,100.8684,20314.19,10498,5
1496239201,18.7,83.628,100.8526,18453.79,10480,5
1496240101,18.65,86.572,100.8599,18828.47,10426,5
1496241001,18.21,87.772,100.8748,14074.52,10399,5
1496241901,17.19,91.014,100.8864,10340.73,10381,5
1496242801,17.51,90.17,100.8867,14226.61,10369,5
1496243701,17.7,92.467,100.8778,10887.9,10357,5
1496244601,18.56,85.771,100.8437,25272.18,10336,5
1496245501,22.39,74.16,100.8053,44508.71,10407,5
1496246401,22.48,81.223,100.8005,28434.68,10291,5
1496247301,22.12,80.503,100.8103,38026.05,10246,5
1496248201,22.12,79.98,100.766,44096.94,10253,5
1496249101,20.89,81.104,100.7463,35043.47,10219,5
1496250001,26.05,71.82,100.7116,50627.82,10117,5
1496250901,25.12,73.86,100.6877,36089.6,10098,5
