Timestamp,Temperature,Humidity,Pressure,Light,Soil,Voltage
1496160001,23.95,44.106,99.9235,16.69,25970,5
1496160901,23.82,44.137,99.9188,337.58,26030,5
1496161801,18.36,58.751,100.0196,5430.97,26046,5
1496162701,19.97,59.141,101.0576,293.06,26018,5
1496163601,22.72,64.371,101.0987,2815.65,25989,5
1496164501,17.62,73.304,101.0811,142.82,25985,5
1496165401,16.8,76.322,101.0537,4472.02,22110,5
1496166301,17.08,75.625,101.043,3349.84,21795,5
1496167201,16.52,78.711,101.0483,1671.21,21588,5
1496168101,16.23,80.348,101.0274,1493.15,21423,5
1496169001,16.59,77.018,100.9989,1847.42,21309,5
1496169901,16.49,78.783,100.9877,1498.71,21227,5
1496170801,16.28,79.409,100.9775,1387.42,21165,5
1496171701,16.14,79.22,100.9606,1146.29,21140,5
1496172601,15.86,80.077,100.951,1207.5,21090,5
1496173501,16.26,81.328,100.9587,1107.34,21085,5
1496174401,16.14,80.007,100.9615,1014.6,21051,5
1496175301,16.13,78.007,100.9758,1253.87,21039,5
1496176201,16.07,75.41,100.973,1372.58,21037,5
1496177101,16.24,76.925,100.9676,1617.42,21031,5
1496178001,16.11,77.512,100.9653,1172.26,21037,5
1496178901,15.83,78.969,100.9743,992.34,21032,5
1496179801,15.58,79.066,100.9848,1027.58,21030,5
1496180701,15.47,79.396,100.9694,877.34,21039,5
1496181601,15.2,78.334,100.9842,664.03,21058,5
1496182501,14.91,80.786,100.9791,452.58,21068,5
1496183401,14.8,82.363,101.002,309.76,21084,5
1496184301,14.74,81.72,100.9758,662.18,21104,5
1496185201,14.91,80.6,100.9838,660.32,21118,5
1496186101,14.25,82.955,100.978,237.42,21126,5
1496187001,14.03,84.563,100.9687,168.79,21195,5
1496187901,13.91,84.877,100.9677,142.82,21191,5
1496188801,13.66,86.365,100.9803,46.37,21233,5
1496189701,13.4,87.094,100.9724,18.55,21240,5
1496190601,13.21,87.942,100.9678,1.85,21256,5
1496191501,12.9,89.943,100.9741,0,21268,5
1496192401,12.82,91.007,100.9934,0,21312,5
1496193301,12.81,90.82,100.9746,0,21303,5
1496194201,12.7,91.185,100.997,0,21351,5
1496195101,12.55,91.962,100.9753,0,21387,5
1496196001,12.4,92.449,100.9514,0,21389,5
1496196901,12.33,92.814,100.9546,0,21405,5
1496197801,12.33,93.221,100.954,0,21393,5
1496198701,12.27,93.156,100.9568,0,21373,5
1496199601,12.27,93.576,100.9899,0,21401,5
1496200501,12.23,93.469,100.9668,0,21440,5
1496201401,12.12,93.609,100.9458,0,20860,5
1496202301,12.09,94.127,100.9707,0,20873,5
1496203201,12.03,94.793,100.9505,0,20881,5
1496204101,11.89,95.462,100.9381,0,20889,5
1496205001,11.77,96.758,100.9237,0,20893,5
1496205901,11.73,97.921,100.9161,0,20903,5
1496206801,11.68,98.63,100.9154,0,20905,5
1496207701,11.73,99.038,100.9171,0,20903,5
