date,gold,silver,weight,temp,metadata
7/11/2017 16:25,8963,8527,1638.725065,23.9,Dry soil: 992.7g
7/11/2017 16:30,8858,8488,1638.569818,24.69,Wet soil: 1638.7g
7/11/2017 16:35,8741,8456,1637.970512,24.89,Soil: 45.6g/volume
7/11/2017 16:40,8615,8421,1637.888118,24.55,Water: 50.6g/volume
7/11/2017 16:45,8484,8398,1637.620989,24.13,Density: 0.90
7/11/2017 16:50,8360,8391,1637.341717,23.77,
7/11/2017 16:55,8243,8416,1637.080659,23.49,
7/11/2017 17:00,8136,8416,1636.744146,23.29,
7/11/2017 17:05,8032,8393,1636.543799,23.16,
7/11/2017 17:10,7940,8380,1636.503903,23.64,
7/11/2017 17:15,7861,8361,1636.337381,24.44,
7/11/2017 17:20,7781,8322,1635.733738,24.68,
7/11/2017 17:25,7719,8311,1635.62706,24.12,
7/11/2017 17:30,7667,8293,1635.477016,23.66,
7/11/2017 17:35,7614,8286,1635.25065,23.33,
7/11/2017 17:40,7574,8278,1635.552472,23.31,
7/11/2017 17:45,7533,8267,1635.320902,23.99,
7/11/2017 17:50,7485,8224,1634.901995,24.53,
7/11/2017 17:55,7441,8195,1634.738942,24.05,
7/11/2017 18:00,7403,8180,1634.629662,23.5,
7/11/2017 18:05,7363,8171,1634.513443,23.05,
7/11/2017 18:10,7335,8160,1634.551605,23.05,
7/11/2017 18:15,7307,8150,1634.261925,23.66,
7/11/2017 18:20,7278,8133,1633.565481,24.11,
7/11/2017 18:25,7253,8115,1633.385082,23.66,
7/11/2017 18:30,7239,8122,1633.3634,23.11,
7/11/2017 18:35,7224,8132,1633.351258,23.06,
7/11/2017 18:40,7197,8112,1633.15438,23.61,
7/11/2017 18:45,7184,8091,1632.764961,23.97,
7/11/2017 18:50,7184,8084,1632.587164,23.48,
7/11/2017 18:55,7177,8091,1632.516912,22.97,
7/11/2017 19:00,7175,8100,1632.665221,22.94,
7/11/2017 19:05,7168,8099,1632.411969,23.5,
7/11/2017 19:10,7157,8095,1632.000867,23.89,
7/11/2017 19:15,7150,8090,1631.888985,23.37,
7/11/2017 19:20,7129,8093,1631.928881,22.85,
7/11/2017 19:25,7102,8088,1631.874241,23.2,
7/11/2017 19:30,7082,8076,1631.750217,23.72,
7/11/2017 19:35,7076,8068,1631.426713,23.65,
7/11/2017 19:40,7076,8074,1631.478751,23.06,
7/11/2017 19:45,7075,8088,1631.656548,23.06,
7/11/2017 19:50,7066,8080,1631.389419,23.53,
7/11/2017 19:55,7061,8080,1631.030356,23.79,
7/11/2017 20:00,7058,8086,1631.006938,23.22,
7/11/2017 20:05,7091,8088,1631.197745,22.92,
7/11/2017 20:10,7097,8079,1630.973114,23.37,
7/11/2017 20:15,7096,8073,1630.644406,23.79,
7/11/2017 20:20,7094,8080,1630.612316,23.27,
7/11/2017 20:25,7096,8093,1630.852559,23.05,
7/11/2017 20:30,7101,8097,1630.671292,23.47,
7/11/2017 20:35,7097,8084,1630.3183,23.8,
7/11/2017 20:40,7069,8078,1630.230703,23.25,
7/11/2017 20:45,7065,8086,1630.444926,23.07,
7/11/2017 20:50,7058,8085,1630.045967,23.49,
7/11/2017 20:55,7050,8074,1629.872507,23.78,
7/11/2017 21:00,7049,8077,1629.722463,23.21,
7/11/2017 21:05,7051,8094,1629.814397,23.19,
7/11/2017 21:10,7043,8083,1629.665221,23.59,
7/11/2017 21:15,7045,8084,1629.127493,23.68,
7/11/2017 21:20,7047,8113,1629.38248,23.04,
7/11/2017 21:25,7047,8117,1629.19601,23.36,
7/11/2017 21:30,7045,8113,1629.128361,23.77,
7/11/2017 21:35,7047,8126,1628.873374,23.4,
7/11/2017 21:40,7049,8141,1629.019948,22.98,
7/11/2017 21:45,7051,8138,1628.838682,23.36,
7/11/2017 21:50,7050,8134,1628.675629,23.75,
7/11/2017 21:55,7053,8144,1628.341717,23.26,
7/11/2017 22:00,7058,8161,1628.61752,23.05,
7/11/2017 22:05,7055,8160,1628.387684,23.46,
7/11/2017 22:10,7055,8159,1628.079792,23.72,
7/11/2017 22:15,7061,8181,1628.198612,23.14,
7/11/2017 22:20,7058,8185,1628.033825,23.4,
7/11/2017 22:25,7057,8185,1627.875108,23.76,
7/11/2017 22:30,7061,8199,1627.647008,23.31,
7/11/2017 22:35,7065,8215,1627.912402,23.22,
7/11/2017 22:40,7067,8214,1627.744146,23.58,
7/11/2017 22:45,7066,8214,1627.188205,23.73,
7/11/2017 22:50,7067,8237,1627.307025,23.09,
7/11/2017 22:55,7076,8260,1627.423244,22.73,
7/11/2017 23:00,7077,8266,1627.084996,23.18,
7/11/2017 23:05,7078,8263,1626.904597,23.57,
7/11/2017 23:10,7082,8282,1626.784042,23.11,
7/11/2017 23:15,7083,8301,1626.772767,23.06,
7/11/2017 23:20,7080,8300,1626.468343,23.47,
7/11/2017 23:25,7079,8309,1626.139636,23.62,
7/11/2017 23:30,7085,8332,1626.140503,23.01,
7/11/2017 23:35,7086,8348,1626.287944,22.91,
7/11/2017 23:40,7088,8350,1625.75889,23.43,
7/11/2017 23:45,7086,8355,1625.354727,23.82,
7/11/2017 23:50,7085,8368,1625.590633,23.37,
7/11/2017 23:55,7086,8388,1625.558543,22.99,
7/12/2017 0:00,7088,8388,1625.480486,23.53,
7/12/2017 0:05,7083,8387,1625.326106,24.2,
7/12/2017 0:10,7081,8386,1625.130095,24.18,
7/12/2017 0:15,7083,8413,1625.251518,23.6,
7/12/2017 0:20,7079,8438,1625.079792,23.13,
7/12/2017 0:25,7079,8464,1624.929748,22.9,
7/12/2017 0:30,7005,8588,1624.7268,22.77,
7/12/2017 0:35,6977,8576,1624.627927,22.67,
7/12/2017 0:40,6965,8577,1624.457069,22.66,
7/12/2017 0:45,6958,8576,1624.212489,22.57,
7/12/2017 0:50,6954,8567,1624.150043,22.57,
7/12/2017 0:55,6951,8573,1624.143972,23.22,
7/12/2017 1:00,6945,8570,1623.853426,24.02,
7/12/2017 1:05,6934,8556,1623.66869,24.25,
7/12/2017 1:10,6938,8590,1623.915872,23.69,
7/12/2017 1:15,6934,8593,1623.779705,23.23,
7/12/2017 1:20,6933,8603,1623.5915,22.93,
7/12/2017 1:25,6933,8613,1623.411969,22.8,
7/12/2017 1:30,6934,8626,1623.171726,22.69,
7/12/2017 1:35,6936,8636,1622.92281,22.64,
7/12/2017 1:40,6938,8655,1622.893322,22.57,
7/12/2017 1:45,6938,8653,1622.784042,22.58,
7/12/2017 1:50,6937,8655,1622.489159,22.57,
7/12/2017 1:55,6933,8656,1622.464874,22.49,
7/12/2017 2:00,6941,8658,1622.702515,23.13,
7/12/2017 2:05,6933,8653,1622.946227,23.84,
7/12/2017 2:10,6932,8670,1622.796184,23.95,
7/12/2017 2:15,6936,8685,1622.93582,23.22,
7/12/2017 2:20,6938,8695,1622.89072,22.66,
7/12/2017 2:25,6932,8684,1622.902862,23.05,
7/12/2017 2:30,6933,8691,1622.746748,23.56,
7/12/2017 2:35,6930,8709,1622.470078,23.34,
7/12/2017 2:40,6922,8702,1622.503903,22.75,
7/12/2017 2:45,6923,8693,1622.437121,23.1,
7/12/2017 2:50,6916,8713,1622.337381,23.54,
7/12/2017 2:55,6914,8713,1622.004337,23.24,
7/12/2017 3:00,6915,8722,1622.208153,22.93,
7/12/2017 3:05,6917,8721,1622.031223,23.32,
7/12/2017 3:10,6913,8725,1621.227233,23.63,
7/12/2017 3:15,6921,8752,1621.653079,23.05,
7/12/2017 3:20,6917,8746,1621.705117,23.14,
7/12/2017 3:25,6916,8750,1621.569818,23.52,
7/12/2017 3:30,6917,8759,1621.142238,23.46,
7/12/2017 3:35,6915,8762,1621.219428,22.84,
7/12/2017 3:40,6917,8767,1621.294016,23.11,
7/12/2017 3:45,6913,8763,1621.084128,23.53,
7/12/2017 3:50,6917,8785,1620.72333,23.25,
7/12/2017 3:55,6923,8810,1620.773634,22.69,
7/12/2017 4:00,6920,8802,1620.70425,23.06,
7/12/2017 4:05,6918,8796,1620.569818,23.49,
7/12/2017 4:10,6924,8823,1620.294883,23.17,
7/12/2017 4:15,6925,8826,1620.416305,22.92,
7/12/2017 4:20,6923,8819,1620.324371,23.29,
7/12/2017 4:25,6923,8836,1619.64961,23.6,
7/12/2017 4:30,6928,8858,1619.943625,23.01,
7/12/2017 4:35,6923,8861,1620.137901,23.08,
7/12/2017 4:40,6924,8870,1619.880312,23.46,
7/12/2017 4:45,6931,8896,1619.54033,23.42,
7/12/2017 4:50,6938,8933,1619.770165,22.87,
7/12/2017 4:55,6940,8922,1619.603643,23.19,
7/12/2017 5:00,6932,8912,1619.547268,23.57,
7/12/2017 5:05,6934,8944,1619.25065,23.14,
7/12/2017 5:10,6938,8972,1619.353859,22.63,
7/12/2017 5:15,6939,8950,1619.176062,23.03,
7/12/2017 5:20,6934,8950,1619.060711,23.47,
7/12/2017 5:25,6939,8978,1618.760624,23.12,
7/12/2017 5:30,6943,9000,1618.91327,22.71,
7/12/2017 5:35,6940,8981,1618.734605,23.1,
7/12/2017 5:40,6943,8982,1618.411101,23.47,
7/12/2017 5:45,6943,9003,1618.266262,22.97,
7/12/2017 5:50,6944,9014,1618.345186,23.02,
7/12/2017 5:55,6940,9004,1618.406765,23.4,
7/12/2017 6:00,6943,9016,1617.994796,23.36,
7/12/2017 6:05,6950,9032,1617.852559,22.75,
7/12/2017 6:10,6948,9036,1617.997398,22.88,
7/12/2017 6:15,6950,9029,1617.770165,23.3,
7/12/2017 6:20,6943,9038,1617.41804,23.27,
7/12/2017 6:25,6949,9052,1617.632264,23.09,
7/12/2017 6:30,6948,9054,1617.509974,23.4,
7/12/2017 6:35,6945,9051,1617.262793,23.59,
7/12/2017 6:40,6954,9068,1617.339983,23.04,
7/12/2017 6:45,6952,9053,1617.253252,23.33,
7/12/2017 6:50,6945,9046,1617.01301,23.66,
7/12/2017 6:55,6947,9060,1616.804857,23.16,
7/12/2017 7:00,6955,9084,1616.946227,23.09,
7/12/2017 7:05,6924,9044,1616.787511,23.44,
7/12/2017 7:10,6914,9035,1616.309627,23.5,
7/12/2017 7:15,6917,9054,1616.611448,23.09,
7/12/2017 7:20,6912,9048,1616.512576,23.4,
7/12/2017 7:25,6900,9037,1616.134432,23.69,
7/12/2017 7:30,6902,9049,1616.03209,23.14,
7/12/2017 7:35,6905,9056,1616.222897,23.08,
7/12/2017 7:40,6902,9040,1616.056375,23.46,
7/12/2017 7:45,6901,9052,1615.489159,23.56,
7/12/2017 7:50,6899,9067,1615.525585,22.93,
7/12/2017 7:55,6894,9075,1615.582827,23.21,
7/12/2017 8:00,6890,9065,1615.464874,23.62,
7/12/2017 8:05,6887,9058,1615.028621,23.35,
7/12/2017 8:10,6889,9073,1615.135299,22.83,
7/12/2017 8:15,6884,9071,1615.027754,23.17,
