pg,#,date,conditions,light,umol,lux,notes
1,1,2017-09-26,sunny,sun,1673,91291,
1,2,2017-09-26,sunny,sun,1698,92953,
1,3,2017-09-26,sunny,sun,1291,71680,partial clouds
1,4,2017-09-26,sunny,sun,1702,92289,
1,5,2017-09-26,sunny,sun,2005,120370,
1,6,2017-09-26,sunny,sun,2004,120494,
1,7,2017-09-26,sunny,sun,2006,121546,
1,8,2017-09-26,sunny,sun,1955,115443,
1,9,2017-09-26,sunny,sun,1990,118476,
1,10,2017-09-26,sunny,sun,1981,119307,
1,11,2017-09-26,sunny,sun,2000,120488,
1,12,2017-09-26,sunny,sun,1970,117851,
1,13,2017-09-26,sunny,sun,1866,108886,
1,14,2017-09-26,sunny,sun,1775,100195,
1,15,2017-09-26,sunny,sun,1740,97762,
1,16,2017-09-26,sunny,sun,1820,105963,
1,17,2017-09-26,sunny,sun,1846,108816,
1,18,2017-09-26,sunny,sun,1880,112605,
1,19,2017-09-26,sunny,sun,1788,104791,
1,20,2017-09-26,sunny,sun,1745,101165,
1,21,2017-09-26,sunny,sun,1721,99319,
1,22,2017-09-26,sunny,sun,1646,94270,
1,23,2017-09-26,sunny,sun,1666,95328,
1,24,2017-09-26,sunny,sun,1611,90203,
1,25,2017-09-26,sunny,sun,1644,93642,
1,26,2017-09-26,sunny,sun,1588,88007,
1,27,2017-09-26,sunny,sun,1550,85224,
1,28,2017-09-26,sunny,sun,1530,84391,
1,29,2017-09-26,sunny,sun,1511,81795,
1,30,2017-09-26,sunny,sun,1486,80075,
1,31,2017-09-26,sunny,sun,1461,79630,
1,32,2017-09-26,sunny,sun,1422,75086,
1,33,2017-09-26,sunny,sun,1434,78708,
1,34,2017-09-26,sunny,sun,1411,75240,
1,35,2017-09-26,sunny,sun,1309,76162,
1,36,2017-09-26,sunny,sun,1287,76725,
1,37,2017-09-26,sunny,sun,1353,73997,
1,38,2017-09-26,sunny,sun,1301,73087,
1,39,2017-09-26,sunny,sun,1253,72921,
1,40,2017-09-26,sunny,sun,1070,62877,
1,41,2017-09-26,sunny,sun,1118,69085,
1,42,2017-09-26,sunny,sun,1182,73496,
1,43,2017-09-26,sunny,sun,939,63154,
1,44,2017-09-26,sunny,sun,1048,64203,
1,45,2017-09-26,sunny,sun,1053,58693,
1,46,2017-09-26,sunny,sun,1080,64470,
1,47,2017-09-26,sunny,sun,1163,62486,
1,48,2017-09-26,sunny,sun,1125,59321,
1,49,2017-09-26,sunny,sun,1155,61061,partial clouds
1,50,2017-09-26,sunny,sun,1295,78098,
1,51,2017-09-26,sunny,sun,1260,68783,
1,52,2017-09-26,sunny,sun,1220,66882,
1,53,2017-09-26,sunny,sun,1251,71439,
1,54,2017-09-26,sunny,sun,910,46202,partial clouds
1,55,2017-09-26,sunny,sun,940,48810,partial clouds
1,56,2017-09-26,sunny,sun,977,52900,partial clouds
1,57,2017-09-26,sunny,sun,797,43858,partial clouds
1,58,2017-09-26,sunny,sun,812,44414,partial clouds
1,59,2017-09-26,sunny,sun,708,40454,partial clouds
1,60,2017-09-26,sunny,sun,751,43639,partial clouds
1,61,2017-09-26,sunny,sun,640,36965,partial clouds
1,62,2017-09-26,sunny,sun,569,32106,partial clouds
1,63,2017-09-26,sunny,sun,535,29756,partial clouds
